image,generated_caption
48509840.jpg,a man in a blue shirt is standing in front of a building
3273435238.jpg,a man in a blue shirt is swimming
5882565072.jpg,a man in a white shirt is playing a game of basketball
2807228428.jpg,a man in a blue shirt is standing on a dock
4912431886.jpg,a man in a red shirt is walking down a street
2969233171.jpg,a group of people are sitting in a circle
2536881159.jpg,a man in a yellow shirt is standing on a ladder
2071309418.jpg,a dog runs through the grass
2429974376.jpg,a group of people are dancing in a parade
207952798.jpg,a man in a black shirt is sitting on a couch
5534272962.jpg,a man in a blue shirt is playing a game of frisbee
2044546977.jpg,a woman in a pink dress is holding a bouquet of flowers
143237785.jpg,a man in a blue shirt is standing in front of a <unk>
3038045802.jpg,a snowboarder is jumping over a snowy hill
46348868.jpg,a man in a black shirt is sitting on a bench
2392281446.jpg,a man in a black jacket is skiing
3027409415.jpg,a man in a blue shirt is standing in front of a large <unk>
2864634088.jpg,a man in a white shirt is playing a game of basketball
4610973875.jpg,a woman in a pink dress is holding a little girl in a pink dress
241346215.jpg,a group of people are standing in a crowd
279047277.jpg,a man in a white jacket is standing in front of a building
2389238787.jpg,a man in a blue shirt is sitting on a stool in front of a <unk>
4730549198.jpg,a man in a blue shirt is riding a bike
2569800008.jpg,a young boy in a blue shirt is playing in the water
1545049746.jpg,a man in a red shirt is jumping in the air
161661145.jpg,a man in a blue shirt is sitting on a bench
22779916.jpg,a group of people are walking in a park
6838087446.jpg,a man in a white shirt is holding a guitar
2188535529.jpg,a large group of people are standing on a sidewalk
256958382.jpg,a man in a blue shirt is jumping in the air
407453309.jpg,a man in a blue shirt is sitting on a bench
5511459001.jpg,a group of people are walking in a field
4130537606.jpg,a man in a red shirt is standing on a track
4962649156.jpg,football players in red uniforms are running in a football game
6157355105.jpg,a man in a blue shirt is riding a bike
7576330234.jpg,a man in a red shirt is riding a bike
1596758323.jpg,a group of people are dancing in a parade
4735742933.jpg,a man in a black shirt and jeans is sitting on a bench
2359862217.jpg,a group of people are walking on the beach
343218198.jpg,a dog runs through the grass
4877885745.jpg,a man in a blue shirt is riding a bike
4441983387.jpg,a group of people are walking in a field
7094986255.jpg,a young girl in a blue shirt is playing in the water
3624168175.jpg,a man in a blue shirt is standing in a field
2208310655.jpg,a young girl is sitting on a chair in a <unk>
7186836768.jpg,a group of children playing soccer
80143638.jpg,a man in a black shirt is sitting in a chair
8245366095.jpg,a man in a white shirt is playing a game of basketball
4700549201.jpg,a man in a black shirt is walking down the street
2435508244.jpg,a man in a blue shirt is sitting on a stool in a kitchen
12252043.jpg,a man in a white shirt is cooking
3657209354.jpg,a man in a blue shirt is standing on a rock
